,V 1.0,,,,,,,,,,,,,
262,512,Ketchup,ケチャップ,10,4000,1300,6,Icon_Item_Food_098,1,1,12,1,"Condiment made from tomatoes. Its tangy taste
goes well with egg and potato recipes.","トマトを加工した調味料。
スパイシーな味は、卵料理やジャガイモを
使う料理にとても合う。"
256,513,Butter,バター,10,1500,300,3,Icon_Item_Food_092,1,1,12,1,"Made by churning milk. Usually eaten with other
food for taste. Sometimes eaten alone, by the stick,
in shame.","牛乳を加工した食べ物。
そのまま食べることはほとんどなく、
主に調味料として使う。"
270,514,Gold Juice,ゴールドジュース,10,2400000,800000,15,Icon_Item_Food_106,1,1,151,1,"Juice made from a mixture of golden ingredients.
Not, uh... Not very good. Honestly.","世の中の金色を集めてから、
混ぜ合わせたジュース。
あんまりおいしくないが珍味。"
264,515,Prelude to Love,恋の予感,10,11200,2600,11,Icon_Item_Food_100,1,1,12,1,"Strawberries and pink melons mixed together to form
the sweet and sour taste of love. Might have a bitter
aftertaste.","オトメロンとイチゴの飲み物。
甘酸っぱいその味は、飲んだ人をキュンと
させる、それはまさに恋の予感。"
266,516,Hot Juice,ホットジュース,10,13000,3600,13,Icon_Item_Food_102,1,1,12,1,"Made from hot-hot fruit. Always stays hot, so carry
some in cold weather.","ほかほかの実を使った飲み物。
冷めることはなく、どんなときでも温かい。
寒い地方に行くときは持って行きたい。"
296,550,Steamed Bread,むしパン,11,3820,1240,6,Icon_Item_Food_132,1,1,12,1,"Bread that's been steamed. Makes a good snack for
kids.","むしてふくらませたパン。
とてもやわらかい食感の中に、甘さがあり、
小さい子でも食べられる。"
298,551,Cheese Bread,チーズむしパン,11,7300,2420,7,Icon_Item_Food_134,1,1,12,1,"Steamed cheese bread. Moist and chewy, with a
subtle scent of feet.","チーズを混ぜてむしたパン。
しっとりもちもちした食感と、
ほのかにチーズの香りがする上品な一品。"
301,552,Meat Dumpling,しゅうまい,11,16000,5200,14,Icon_Item_Food_137,1,1,0,1,"A type of dim sum with a lovely sweet flavor and soft
texture.","点心とよばれる料理の一種。
柔らかな食感と素材の甘味が感じられる。"
293,553,Manju,中華まん,11,820,272,2,Icon_Item_Food_129,1,1,12,1,Soft bun filled with various ingredients and steamed.,"ふわっとした皮に具を包んでむした料理。
具がたっぷり詰まっていて
食べごたえがある。"
300,554,Curry Manju,カレーまん,11,36800,4800,10,Icon_Item_Food_136,1,1,12,1,A soft dumpling filled with spices.,"柔らかい生地の中には、スパイスが
効いた味がひそんでいる。"
302,555,Steamed Gyoza,むしぎょうざ,11,32000,9000,14,Icon_Item_Food_138,1,1,0,1,"One common way to cook potstickers. Juicy and
savory.","ぎょうざのスタンダードな料理法のひとつ。
味をとじこめやすく、ぎょうざ本来の味と
食感が味わえる。"
294,556,Pound Cake,むしカステラ,11,1880,608,3,Icon_Item_Food_130,1,1,12,1,"Square-shaped sponge cake. Steam to bring out its
light sweetness.","甘く四角くふくらませたお菓子のひとつ。
むすことによって、やさしい甘さが味わえる。"
297,557,Chocolate Sponge Cake,むしチョコケーキ,11,5600,1800,6,Icon_Item_Food_133,1,1,12,1,"Cake as light and soft as a cloud. Even a baby could
eat it!","まるで雲のような食感で、赤ちゃんでも
食べることができるチョコケーキ。"
295,558,Flan,プリン,11,2500,832,5,Icon_Item_Food_131,1,1,12,1,"A jiggly dessert with a smooth texture and subtle
eggy flavor. Shake it a little and watch it dance!","ぷるぷるっとふるえるお菓子。
卵の優しくなめらかな食感が特徴。"
299,559,Pumpkin Flan,かぼちゃプリン,11,5250,1350,7,Icon_Item_Food_135,1,1,12,1,A flan with a sweet and savory flavor of pumpkin.,"カボチャの香ばしい甘さを加えたプリン。
キレイな黄金色になり、見た目も楽しめる。"
292,560,Dumplings,だんご,11,150,45,1,Icon_Item_Food_128,1,1,12,1,"Small rice cakes on skewers. Traditional dessert
eaten during festivals.","小さく丸いおもちを串に刺した料理。
古くからお祭りなどで食べられてきた。"
345,561,Pumpkin Flan of the Stars,星のかぼちゃプリン,11,3000,1000,8,Icon_Item_Food_205,1,1,151,1,"A sweet, rich flan made with starfall pumpkin. Few
have ever tasted it.","流星のかぼちゃを使った、
甘く濃厚な知る人ぞ知るプリン。"
174,600,Salad,サラダ,12,21000,6900,12,Icon_Item_Food_010,1,1,0,1,Assorted fresh vegetables. Healthy and nutritious.,"生野菜を盛り合わせた料理。
ヘルシーで栄養がたくさん。"
170,601,Sandwich,サンドウィッチ,12,3900,964,6,Icon_Item_Food_006,1,1,12,1,"Vegetables and other ingredients placed between
two slices of bread. Easy to eat with one hand.","パンの間に、野菜などの具をはさみこんだ料理。
片手で、手を汚さず食べられるため親しまれている。"
171,602,Fruit Sandwich,フルーツサンド,12,1920,540,6,Icon_Item_Food_007,1,1,12,1,"Fruit placed between two slices of bread. Beloved
by children...or so parents hope!","パンに果物をはさんだ料理。
さわやかな味わいから、おやつとして
食べられることが多い。"
166,603,Pickled Turnip,かぶの酢漬け,12,400,48,2,Icon_Item_Food_002,1,1,12,1,"Turnip that's been pickled. Has a fresh taste and is
sometimes eaten after meals.","カブを漬け込んだ料理。
風味がよくさっぱりとした味で食後などに
食べることもある。"
168,604,Pickles,きゅうりの酢漬け,12,450,105,1,Icon_Item_Food_004,1,1,12,1,Lightly pickled cucumber. Has a crunchy texture.,"キュウリを短い時間で漬けた料理。
気持ちのいい歯ごたえがある。"
167,605,Bamboo Rice,たけのこごはん,12,490,162,1,Icon_Item_Food_003,1,1,12,1,"Rice mixed with bamboo shoots. A popular spring
dish with a savory flavor.","タケノコを混ぜこんだごはん。
春を感じられる料理で、タケノコの風味が
ごはんに広がり、とても香ばしい。"
275,606,Raisin Bread,ぶどうパン,9,1200,380,4,Icon_Item_Food_111,1,1,12,1,"Bread with raisins in it. Soft, sweet, and sour, all at
once.","干したブドウをまぶしたパン。
やわらかくて甘酸っぱい。"
258,607,Ice Cream,アイスクリーム,10,2000,645,4,Icon_Item_Food_094,1,1,12,1,"A dessert made by freezing milk. Melts in your mouth.
If you eat it too fast, you'll regret it.","牛乳などを冷やしながら作るデザート。
口の中でアイスが溶ける食感は格別。"
173,608,Relax Tea Leaves,リラックス茶の葉,12,2800,100,4,Icon_Item_Food_009,1,1,12,1,"A medicinal herb made by mixing various plants.
Make tea with it for greater effect.","いくつかの葉を組み合わせて作った薬草。
そのまま食べても効果はあるが
お茶にするのが一般的。"
165,609,Onigiri,おにぎり,12,180,57,1,Icon_Item_Food_001,1,1,30,1,"Rice formed into a triangular shape. Often called a
""rice ball."" Easy to eat on the go, making it a staple
lunch item.","ごはんを三角ににぎった料理。
持ち歩きやすく食べやすいため
お弁当などに多く使われる。"
271,610,Bread,パン,9,440,145,1,Icon_Item_Food_107,1,1,12,1,"A staple food for many. You can toast it, stuff it, stick
things between it, or eat it any other way you'd like.","主食として親しまれる食品。
焼いたり、はさんだり、好みは色々。"
169,611,Salmon Onigiri,鮭のおにぎり,12,2000,645,3,Icon_Item_Food_005,1,1,12,1,"Onigiri with salmon inside. One of the most popular
rice ball recipes.","ごはんに塩ジャケを包み込み、
にぎったおにぎり。
おにぎりの具の中でも、特に人気が高い。"
172,612,Pickle Mix,カブの紅白漬け,12,2800,520,9,Icon_Item_Food_008,1,1,12,1,"Made with spring and winter turnips. The red and
white colors symbolize good luck. Often served at
festivals.","春のカブと冬のカブの漬物。
紅白の色合いから、お祭りや
おめでたい行事に出される。"
175,613,Turnip Heaven,カブヘブン,12,542000,150000,15,Icon_Item_Food_011,1,1,0,1,"Turnips from three corners of the globe, gathered
together into a turnip paradise. Try to eat all three at
once!","世の中のカブが一堂に会した
まさにカブの天国。
３色同時に口に入れるのが正しい食べ方。"
349,614,Octopus Rice,タコごはん,12,3600,200,6,Icon_Item_Food_196,1,1,151,1,"Octopus boiled, sliced, and mixed with rice. The
perfectly preserved texture of octopus makes this
dish a winner.","ゆでたタコの切り身をごはんに混ぜて炊きこんだ
しっかりとした触感のタコがおいしい炊き込みご飯。"
355,615,Golden Octopus Rice,ゴールデンたこご飯,12,840000,200000,13,Icon_Item_Food_195,1,1,151,1,"Golden octopus cooked with rice. Don't miss this
golden opportunity to taste it!","黄金のタコを使って、ごはんに混ぜて炊きこんだ
味も見た目もまさにゴールデンな炊き込みご飯。"
357,650,Rice,ごはん,13,200,30,0,Icon_Item_Food_169,1,9,12,1,"A staple of the dining table. Plays well with other
dishes, so it's used in a wide variety of recipes.","主食として広く親しまれる食卓のレギュラー。
他の料理との相性も良く、
何かをかけて食べたりもする。"
358,651,Chocolate,チョコレート,13,400,150,1,Icon_Item_Food_170,1,9,12,1,"This mellow treat sets the standard for sweets. Found
in endless varieties.","まろやかで甘いお菓子。
甘いお菓子の代表というほどの地位を確立している。
苦い種類のチョコレートもある。"
359,652,Wine,ワイン,13,2000,800,2,Icon_Item_Food_171,1,9,12,1,"A type of alcohol made from grapes. Popular for its
taste and mellowness.","ブドウを原料に作られたアルコール飲料。
まろやかでアダルトな味わいは
多くの人をとりこにする。"
71,653,Elli Leaves,エリ草,3,3500,250,10,Icon_Item_Crops_261,1,9,106,0,An exotic plant with dark blue flowers. Beautiful!,"深い青色の花を咲かせる異国の植物。
美容にいいとされている。"
361,700,Milk (S),牛乳,14,1600,260,0,Icon_Item_Food_173,1,9,30,1,"A small amount of milk taken from a buffamoo. High
in calcium.","バッファモーから採れた少量の牛乳。
カルシウムが豊富に含まれている。"
368,701,Milk (M),良い牛乳,14,2000,380,2,Icon_Item_Food_180,1,9,12,1,"A medium amount of milk taken from a buffamoo.
High in calcium.","バッファモーから採れた牛乳。
カルシウムが豊富に含まれている。"
360,702,Milk (L),カルシウム満点牛乳,14,2800,500,6,Icon_Item_Food_172,1,9,12,1,"A large amount of milk taken from a buffamoo. High
in calcium.","バッファモーから採れたたくさんの牛乳。
カルシウムが豊富に含まれている。"
362,703,Egg (S),卵,14,1200,280,0,Icon_Item_Food_174,1,9,12,1,A small cluckadoodle egg. Has a soft white shell.,"コケホッホーから採れた小さめの卵。
白く柔らかいカラが優しく包みこんでいる。"
369,704,Egg (M),良い卵,14,1500,380,2,Icon_Item_Food_181,1,9,12,1,A cluckadoodle egg. Has a soft white shell.,"コケホッホーから採れた中くらいの卵。
白く柔らかいカラが優しく包みこんでいる。"
365,705,Egg (L),毎日ケンコー卵,14,1800,480,6,Icon_Item_Food_177,1,9,12,1,A cluckadoodle egg. Has a soft white shell.,"コケホッホーから採れた大きめの卵。
白く柔らかいカラが優しく包みこんでいる。"
366,706,Mayonnaise,マヨネーズ,14,2200,720,4,Icon_Item_Food_178,1,9,12,1,"A condiment made by processing eggs. Used in
various recipes.","卵を加工した調味料。
野菜や魚など、使い道は色々。"
363,707,Cheese,チーズ,14,2500,400,3,Icon_Item_Food_175,1,9,12,1,"Made by processing milk. Has a distinctive flavor. Eat
as-is or use it in various recipes.","牛乳を加工した食品。
ややクセのある味をしている。
そのまま食べたり、乗せて焼いたり使い道は色々。"
367,708,Yogurt,ヨーグルト,14,3000,800,2,Icon_Item_Food_179,1,9,12,1,Made by processing milk. It eases upset stomachs.,"牛乳を加工した食品。
お腹の調子をととのえる効果がある。"
364,709,Honey,ハチミツ,14,1800,680,3,Icon_Item_Food_176,1,9,12,1,"Honey collected for a queen bee. Very nutritious
and popular for its natural sweetness.","女王バチのために集めたミツ。
栄養価が高く、天然の甘さが人気の秘密。"
372,750,Flour,小麦粉,15,320,125,1,Icon_Item_Food_184,1,9,12,1,"Made by grinding wheat. Required to make dough
and used in many recipes.","小麦を挽いてできた粉。
生地作りにはかかせない材料で
さまざまな料理に使われる。
柔らかくも硬くもなる魔法の粉。"
370,751,Oil,油,15,650,250,1,Icon_Item_Food_182,1,9,12,1,"Often used in fried recipes to add flavor and prevent
sticking. Burns easily and spatters when hot, so
watch out!","主にいため料理などに使われ、
料理をこがさないためや、
味に深みを出すために使う。
熱すると跳ねるため、取り扱いに注意。"
371,752,Curry Powder,カレー粉,15,300,70,1,Icon_Item_Food_183,1,9,12,1,"Powder used to cook curry. Made by mixing various
spices. Goes well with lots of stuff.","カレーの原料になる粉。
さまざまな香辛料を混ぜて作られている。
これさえあれば何でも食べられるものになるとか。"
375,753,Rice Flour,だんご粉,15,100,40,1,Icon_Item_Food_187,1,9,12,1,"Powder used to make rice dumplings. Adds stickiness
to the resulting dish.","だんごの原料となる粉。
入れると、もちもち感が生まれ
口内にナイスな食感を与える。"
120,800,Turnip Seed,カブの種,38,10,2,0,Icon_Item_Crops_262,1,9,12,1,"Grows well from summer to autumn. Recommended
for beginners. Most widely distributed veggie in the
world, for some reason.","夏から秋にかけて育ちやすい。
初心者におすすめのお手軽な野菜。
なぜかこの世界で最も流通している。"
135,801,Potato Seed,ジャガイモの種,38,80,8,0,Icon_Item_Crops_263,1,9,0,1,"Grows well from spring to summer, but not in winter.
Blooms with surprisingly beautiful flowers.","春から夏にかけて育ちやすく、冬は育ちにくい。
意外にキレイな花を咲かせる。"
123,802,Cucumber Seed,キュウリの種,38,320,32,0,Icon_Item_Crops_264,1,9,0,1,"Grows well from spring to summer, but not in winter.
Hearty ones may grow again after harvesting.","春から夏にかけて育ちやすく、冬は育ちにくい。
収穫しても作物の体力があれば
また生えてくる。"
117,803,Strawberry Seed,イチゴの種,38,400,40,0,Icon_Item_Crops_265,1,9,0,1,"Grows well in spring and autumn. Bears sweet fruits.
Hearty ones may grow again after harvesting.","春や秋に育ちやすい。
甘い果実を実らせる。
収穫しても作物の体力があれば
また生えてくる。"
122,804,Cabbage Seed,キャベツの種,38,980,98,0,Icon_Item_Crops_266,1,9,0,1,"Grows well in spring and fall. Grows fast and rarely
withers.","春か秋に育ちやすい。
早く育ち、枯れにくいバランスがよい種。"
161,805,Moondrop Seed,ムーンドロップの種,38,250,25,0,Icon_Item_Crops_267,1,9,0,1,"Grows well in spring and autumn, but not in winter.
An easy flower to grow.","春や秋に育ちやすく、冬は育ちにくい。
簡単に育てることができる花。"
144,806,Toyherb Seed,トイハーブの種,38,60,6,0,Icon_Item_Crops_268,1,9,12,1,"Grows well in spring but not in winter. A fast grower,
but delicate and tough to harvest. Eating a full-
grown one relieves fatigue.","春に育ちやすく、冬は育ちにくい。
成長は早いが、デリケートな花で
育てるのに苦労する。
成長した花を食べると疲労が治る。"
146,807,Tomato Seed,トマトの種,38,1880,188,0,Icon_Item_Crops_269,1,9,0,1,"Grows well from spring to summer, but not in winter.
Grows nutritious tomatoes. May grow again after
harvesting.","春から夏にかけて育ちやすく、冬は育ちにくい。
栄養価の高いトマトができる。
収穫しても作物の体力があれば
また生えてくる。"
145,808,Corn Seed,トウモロコシの種,38,450,45,0,Icon_Item_Crops_270,1,9,0,1,"Grows well from spring to summer, but not in winter.
Improves the soil if you till it without harvesting.","春から夏にかけて育ちやすく、冬は育ちにくい。
ほとんど土を痛めない。
収穫せずに耕すと土を大きく回復させる。"
139,809,Onion Seed,タマネギの種,38,1480,148,0,Icon_Item_Crops_271,1,9,0,1,"Grows well in autumn. Easy to harvest and easy on
the soil.","秋に育ちやすい。
簡単に栽培ができ、土を痛めにくい。"
121,810,Pumpkin Seed,カボチャの種,38,200,20,0,Icon_Item_Crops_272,1,9,0,1,"Grows well from spring to summer, but not in winter.
Easy on the soil. May grow again after harvesting.","春から夏にかけて育ちやすく、冬は育ちにくい。
ほとんど土を痛めない。
収穫しても作物の体力があれば
また生えてくる。"
151,811,Pineapple Seed,パイナップルの種,38,2800,280,0,Icon_Item_Crops_273,1,9,0,1,"Grows well in summer, but not in other seasons.
Takes time to grow. May grow again after harvesting,
but tough on soil.","夏に育ちやすく、それ以外の季節では育ちにくい。
育てるのに時間のかかる作物。
収穫しても作物の体力があれば
また生えてくる。ただし、土がかなり痛む。"
155,812,Pink Cat Seed,ピンクキャットの種,38,180,18,0,Icon_Item_Crops_274,1,9,0,1,"Grows well in summer, but not in winter. Grows fast
and is easy to harvest, but withers quickly.","夏に育ちやすく、冬は育ちにくい。
育ちが早く簡単に育てることができる花。
やや枯れやすい。"
147,813,Eggplant Seed,ナスの種,38,720,72,0,Icon_Item_Crops_275,1,9,0,1,"Grows well from spring to summer, but not in winter.
Hearty ones may grow again after harvesting.","春から夏にかけて育ちやすく、冬は育ちにくい。
収穫しても作物の体力があれば
また生えてくる。"
148,814,Carrot Seed,ニンジンの種,38,400,40,0,Icon_Item_Crops_276,1,9,0,1,"Grows well in autumn. A well-balanced crop that's
easy on the soil.","秋に育ちやすい。
バランスの良い秋野菜。
ほとんど土を痛めない。"
134,815,Yam Seed,サツマイモの種,38,250,25,0,Icon_Item_Crops_277,1,9,0,1,"Grows well from summer to autumn, but not in
winter. Easy on the soil.","夏から秋にかけて育ちやすく、冬は育ちにくい。
ほとんど土を痛めない。"
157,816,Spinach Seed,ホウレン草の種,38,60,6,0,Icon_Item_Crops_278,1,9,0,1,"Grows well in autumn. Grows fast, but withers quickly.
Don't forget to water it every day!","秋に育ちやすい。
すぐに育つが、とても枯れやすい。
水は毎日欠かさずにあげよう。"
154,817,Green Pepper Seed,ピーマンの種,38,800,80,0,Icon_Item_Crops_279,1,9,0,1,"Grows well in summer, but not in winter. Highly
nutritious. Hearty ones may grow again after
harvesting.","夏に育ちやすく、冬は育ちにくい。
栄養価の高い野菜。
収穫しても作物の体力があれば
また生えてくる。"
141,818,Charm Blue Seed,チャームブルーの種,38,370,37,0,Icon_Item_Crops_280,1,9,0,1,"Grows well in autumn, but not in winter. Easy to grow,
with a good balance of growth rate and resilience.","秋に育ちやすく、冬は育ちにくい。
成長日数、枯れやすさ共にバランスが
良いため育てやすい。"
159,819,Fodder Seed,牧草の種,38,30,3,0,Icon_Item_Crops_281,1,9,12,1,"Grows feed for your monsters. Hearty ones may grow
again after harvesting.","収穫するとモンスターのエサとなる牧草を
手に入れることができる。
収穫しても作物の体力があればまた生えてくる。"
133,820,Cherry Grass Seed,サクラ草の種,38,420,42,0,Icon_Item_Crops_282,1,9,0,1,"Grows well in spring, but not in winter. Blooms with a
light pink flower. A cerezo subspecies.","春に育ちやすく、冬は育ちにくい。
淡いピンクの花を咲かせる。
セレッソの亜種。"
162,821,Lamp Grass Seed,ランプ草の種,38,740,74,0,Icon_Item_Crops_283,1,9,0,1,"Grows well in winter. Takes a long time to grow.
Mainly used as an ingredient in medicines.","冬に育ちやすい。
長い時間をかけて育てていく。
主に薬の材料となる。"
115,822,Blue Crystal Flower Seed,青水晶の種,38,30000,1000,0,Icon_Item_Crops_284,1,9,0,1,"Grows well in spring, but not in other seasons. Takes a
long time to grow. Resembles a blue crystal.","春に育ちやすく、それ以外の季節では育ちにくい。
時間をかけて育てていく。
青い結晶のような種。"
131,823,Emery Flower Seed,金剛花の種,38,50000,2500,0,Icon_Item_Crops_285,1,9,0,1,"Takes a long time to grow. Rarely withers and can be
cultivated by almost anyone.","非常に長い時間をかけて育てていく。
かなり枯れにくいため、根気さえあれば
誰にでも育てられる。"
143,824,Ironleaf Seed,鉄千輪の種,38,600,60,0,Icon_Item_Crops_286,1,9,0,1,"Grows well in winter, but not in summer. Takes a long
time to grow. Has a special power that lets it gather
iron from the soil.","冬に育ちやすく、夏は育ちにくい。
長い時間をかけて育てていく。
地中の鉄を集める特殊な性質がある。"
129,825,Clover Seed,クローバーの種,38,960,96,0,Icon_Item_Crops_287,1,9,0,1,"Grows well in spring and autumn, but not in summer.
A lucky seed that brings good fortune. Improves the
soil if you till it without harvesting.","春や秋に育ちやすく、夏は育ちにくい。
幸せを運ぶ幸運のタネ。
収穫せずに耕すと土を大きく回復させる。"
150,826,Fireflower Seed,野之花火の種,38,5000,500,0,Icon_Item_Crops_288,1,9,0,1,"Grows well in summer, but not in winter. Has seeds as
black as gunpowder.","夏に育ちやすく、冬は育ちにくい。
火薬のような黒い種。"
160,827,Green Crystal Flower Seed,緑水晶の種,38,30000,1000,0,Icon_Item_Crops_289,1,9,0,1,"Grows well in summer, but not in other seasons.
Takes a long time to grow. Resembles a green
crystal.","夏に育ちやすく、それ以外の季節では育ちにくい。
時間をかけて育てていく。
緑の結晶のような種。"
142,828,Noel Grass Seed,ツリー草の種,38,2700,270,0,Icon_Item_Crops_290,1,9,0,1,"Grows well in winter, but not in summer. Takes a long
time to grow but rarely withers. Often used for
certain festivals.","冬に育ちやすく、夏は育ちにくい。
長い時間をかけて育てていく。
かなり枯れにくい。
特定のお祭りでよく使われる。"
153,829,Autumn Grass Seed,花紅葉の種,38,2500,250,0,Icon_Item_Crops_291,1,9,0,1,"Grows well in autumn, but not in winter. Takes a long
time to grow. Has round, red seeds.","秋に育ちやすく、冬は育ちにくい。
時間をかけて育てていく。
赤味のかかっただえんの種。"
140,830,Pom-Pom Grass Seed,タンポイズンの種,38,510,51,0,Icon_Item_Crops_292,1,9,0,1,"Grows well in autumn, but not in winter. Takes a long
time to grow. Has soft, white seeds.","秋に育ちやすく、冬は育ちにくい。
長い時間をかけて育てていく。
白くてやわらかい種。"
116,831,Red Crystal Flower Seed,赤水晶の種,38,30000,1000,0,Icon_Item_Crops_293,1,9,0,1,"Grows well in autumn, but not in other seasons. Takes
a long time to grow. Resembles a red crystal.","秋に育ちやすく、それ以外の季節では育ちにくい。
時間をかけて育てていく。
赤い結晶のような種。"
136,832,White Crystal Flower Seed,白水晶の種,38,30000,1000,0,Icon_Item_Crops_294,1,9,0,1,"Grows well in winter, but not in other seasons. Takes
a long time to grow. Resembles a white crystal.","冬に育ちやすく、それ以外の季節では育ちにくい。
時間をかけて育てていく。
白い結晶のような種。"
132,833,Pink Turnip Seed,サクラカブの種,38,160,16,0,Icon_Item_Crops_295,1,9,0,1,"Grows well in spring, but not in winter. Grows a
beautiful pink turnip. Easy to harvest. Popular with
novice farmers.","春に育ちやすく、冬は育ちにくい。
キレイなピンク色をしたカブが育つ。
育てやすいため入門の種として人気。"
137,834,Radish Seed,大根の種,38,120,12,0,Icon_Item_Crops_296,1,9,0,1,"Grows well in autumn, but not in summer. Has a
good balance of growth rate and resilience. Easy on
the soil.","秋に育ちやすく、夏は育ちにくい。
成長日数、枯れやすさともバランスがいい。
ほとんど土を痛めない。"
149,835,Leek Seed,ネギの種,38,680,68,0,Icon_Item_Crops_297,1,9,0,1,"Grows well in spring and autumn, but not in summer.
Withers fairly easily, but is easy on the soil.","春や秋に育ちやすく、夏は育ちにくい。
少し枯れやすい。
ほとんど土を痛めない。"
152,836,Bok Choy Seed,白菜の種,38,1000,100,0,Icon_Item_Crops_298,1,9,0,1,"Grows well in autumn, but not in summer. Weak to
heat.","秋に育ちやすく、夏は育ちにくい。
暑さに弱い。"
127,837,Golden Cabbage Seed,金のキャベツの種,38,5000,500,0,Icon_Item_Crops_299,1,9,0,1,"Grows well in winter, but not in summer. Grows into a
gorgeous golden cabbage.","冬に育ちやすく、夏は育ちにくい。
ゴージャスな金色のキャベツができる。"
126,838,Golden Pumpkin Seed,金のカボチャの種,38,4500,450,0,Icon_Item_Crops_300,1,9,0,1,"Grows well in winter, but not in summer. Grows into a
gorgeous golden pumpkin. May grow again after
harvesting.","冬に育ちやすく、夏は育ちにくい。
ゴージャスな金色のカボチャができる。
収穫しても作物の体力があれば
また生えてくる。"
128,839,Golden Potato Seed,金のジャガイモの種,38,4000,400,0,Icon_Item_Crops_301,1,9,0,1,"Grows well in winter, but not in summer. Grows into a
gorgeous golden potato.","冬に育ちやすく、夏は育ちにくい。
ゴージャスな金色のジャガイモができる。"
125,840,Golden Turnip Seed,金のカブの種,38,10000,1000,0,Icon_Item_Crops_302,1,9,0,1,"Grows well in winter, but not in summer. Grows into a
gorgeous golden turnip.","冬に育ちやすく、夏は育ちにくい。
ゴージャスな金色のカブができる。"
118,841,Pink Melon Seed,オトメロンの種,38,2120,212,0,Icon_Item_Crops_303,1,9,0,1,"Grows well from spring to summer, but not in winter.
A cute seed cultivated through girl power. May grow
again after harvesting.","春から夏にかけて育ちやすく、冬は育ちにくい。
乙女の甘酸っぱい力をあびてなんともかわ
いらしい種が誕生した。収穫しても作物の
体力があればまた生えてくる。"
158,842,Hot-Hot Seed,ほかほかの種,38,1200,120,0,Icon_Item_Crops_304,1,9,0,1,"Grows well in winter, but not in summer. Takes some
time to grow, but is easy to harvest and doesn't
wither easily.","冬に育ちやすく、夏に育ちにくい。
実になるまでにちょっぴり時間がかかるが
枯れにくいので育てやすい。"
163,843,Apple Tree Seed,リンゴツリーの種,38,7000,700,0,Icon_Item_Crops_305,1,9,0,1,"Doesn't grow well in winter. Once it grows into a
tree, it will produce apples every day.","冬は育ちにくい。
リンゴが生る木が育つ。
一度育てば毎日リンゴが手に入る。"
119,844,Orange Tree Seed,オレンジツリーの種,38,5000,500,0,Icon_Item_Crops_306,1,9,0,1,"Doesn't grow well in winter. Once it grows into a
tree, it will produce oranges every day.","冬は育ちにくい。
オレンジの生る木が育つ。
一度育てば毎日オレンジが手に入る。"
156,845,Grape Tree Seed,ブドウツリーの種,38,6000,600,0,Icon_Item_Crops_307,1,9,0,1,"Doesn't grow well in winter. Once it grows into a
tree, it will produce grapes every day.","冬は育ちにくい。
ブドウの生る木が育つ。
一度育てば毎日ブドウが手に入る。"
124,846,Twinkle Seed,キラメ木の種,38,3000,300,0,Icon_Item_Crops_308,1,9,0,1,"Doesn't grow well in winter. Produces a lot of lumber.
May produce ore.","冬は育ちにくい。
植えると木が育つ。
大量の木材を手に入れるのに便利。
まれに木から鉱石が採れることもある。"
130,848,Sword Seed,剣の種,38,1500,150,0,Icon_Item_Crops_310,1,9,0,1,"Grows into a sword. Neat, huh?",植えると片手剣が育つ。
138,849,Shield Seed,盾の種,38,1500,150,0,Icon_Item_Crops_311,1,9,0,1,"Grows into a shield. Cool, right?",植えると盾が育つ。
164,850,Starfall Seed,流星の種,38,25000,250,0,Icon_Item_Crops_325,1,9,151,1,"A seed obtained from breaking open a meteorite.
Each season yields different crops, so you can plant
it all year round!","流星の隕石を叩くと出てくる種。
植えると季節に応じた作物が育つ。"
715,900,Cheap Hoe,ボロのクワ,24,150,24,0,Icon_Item_FarmTool_001,2,1,12,1,"A rusty old hoe. Can still till the fields despite its
chipped blade.","使い古されたクワ。
畑を耕すために使われる。
刃が少し欠けている。"
716,901,Sturdy Hoe,丈夫なクワ,24,3000,120,2,Icon_Item_FarmTool_002,2,1,44,1,"A slightly stronger hoe. No longer chipped by rocks.
Charge up to cover wider areas.","少し強化したクワ。
小石ぐらいでかけなくなった。
チャージでちょっと広めに耕せる。"
717,902,Seasoned Hoe,熟練のクワ,24,25000,400,4,Icon_Item_FarmTool_003,2,1,66,1,"A stronger hoe. Charge up to cover even wider
areas.","さらに強化したクワ。
チャージでもっと広めに耕せる。"
718,903,Shiny Hoe,輝きのクワ,24,0,600,7,Icon_Item_FarmTool_004,2,1,145,1,"A hoe that glimmers like the sweat on your brow.
Covers a very wide area when charged.","輝くまで強化したクワ。
かいた汗も輝いて見える。
チャージでかなりの広範囲を耕せる。"
719,904,Blessed Hoe,喜びのクワ,24,0,2500,9,Icon_Item_FarmTool_005,2,1,147,1,"A hoe so strong that the soil is all like, thank you, may
I have another? Charge up to cover very wide
areas.","耕された土が喜ぶまで強化したクワ。
チャージでかなりの広範囲を耕せる。"
748,905,General's Hoe,ジェネラルのクワ,24,0,5000,0,Icon_Item_FarmTool_034,2,1,151,1,"A hoe that only a chosen few can wield. Can be
used as a farming tool, but also makes an
impressively powerful weapon.","選ばれたものにしか使用することが出来ないクワ。
農具としても使えるが、武器としてもかなりの力を発揮する。"
720,906,Cheap Waterpot,ボロのじょうろ,25,150,37,0,Icon_Item_FarmTool_006,2,1,12,1,"A rusty old waterpot. You can water the fields with it.
Press its assigned button repeatedly to water as you
walk.","使い古されたじょうろ、畑に水をまくことができる。
ボタンを連打すれば、移動しながらも
水をまくことができる。"
